conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
.\code\confs\LOL-pc,0,1,12.778896677505065,0.5974285021298773,0.6333557963371277,6.635510263061249
.\code\confs\LOL-pc,0,0,12.778896677505065,0.5974285021298773,0.6333557963371277,6.635510263061249
